algorithm,SPH_acc,SPH_micro_f1,SPH_mAP,PTB-XL_acc,PTB-XL_micro_f1,PTB-XL_mAP,SXPH_acc,SXPH_micro_f1,SXPH_mAP,G12EC_acc,G12EC_micro_f1,G12EC_mAP,global_acc,global_micro_f1,global_mAP,cross_acc_SPH_to_SPH,cross_acc_SPH_to_PTB-XL,cross_acc_SPH_to_SXPH,cross_acc_SPH_to_G12EC,cross_acc_PTB-XL_to_SPH,cross_acc_PTB-XL_to_PTB-XL,cross_acc_PTB-XL_to_SXPH,cross_acc_PTB-XL_to_G12EC,cross_acc_SXPH_to_SPH,cross_acc_SXPH_to_PTB-XL,cross_acc_SXPH_to_SXPH,cross_acc_SXPH_to_G12EC,cross_acc_G12EC_to_SPH,cross_acc_G12EC_to_PTB-XL,cross_acc_G12EC_to_SXPH,cross_acc_G12EC_to_G12EC,cross_f1_SPH_to_SPH,cross_f1_SPH_to_PTB-XL,cross_f1_SPH_to_SXPH,cross_f1_SPH_to_G12EC,cross_f1_PTB-XL_to_SPH,cross_f1_PTB-XL_to_PTB-XL,cross_f1_PTB-XL_to_SXPH,cross_f1_PTB-XL_to_G12EC,cross_f1_SXPH_to_SPH,cross_f1_SXPH_to_PTB-XL,cross_f1_SXPH_to_SXPH,cross_f1_SXPH_to_G12EC,cross_f1_G12EC_to_SPH,cross_f1_G12EC_to_PTB-XL,cross_f1_G12EC_to_SXPH,cross_f1_G12EC_to_G12EC,cross_mAP_SPH_to_SPH,cross_mAP_SPH_to_PTB-XL,cross_mAP_SPH_to_SXPH,cross_mAP_SPH_to_G12EC,cross_mAP_PTB-XL_to_SPH,cross_mAP_PTB-XL_to_PTB-XL,cross_mAP_PTB-XL_to_SXPH,cross_mAP_PTB-XL_to_G12EC,cross_mAP_SXPH_to_SPH,cross_mAP_SXPH_to_PTB-XL,cross_mAP_SXPH_to_SXPH,cross_mAP_SXPH_to_G12EC,cross_mAP_G12EC_to_SPH,cross_mAP_G12EC_to_PTB-XL,cross_mAP_G12EC_to_SXPH,cross_mAP_G12EC_to_G12EC,run_dir
centralized,82.36,86.67,56.27,60.36,77.36,57.30,81.29,87.11,38.98,55.68,75.98,42.32,74.94,83.48,66.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\kl23a\Documents\Working\FedCVD\output\resnet1d34\centralized\20260126173934
local_client1,82.19,86.89,58.90,38.85,54.70,39.97,52.16,62.06,21.22,32.31,52.00,28.08,55.70,65.47,34.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\kl23a\Documents\Working\FedCVD\output\resnet1d34\local\client1\20260127175239
local_client2,56.54,64.61,38.22,55.89,74.77,53.39,7.79,24.31,23.58,17.32,42.63,31.85,32.42,47.91,36.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\kl23a\Documents\Working\FedCVD\output\resnet1d34\local\client2\20260127181628
local_client3,16.54,22.17,31.27,3.79,17.44,28.55,82.86,87.90,38.32,39.08,56.55,30.61,43.98,51.26,33.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\kl23a\Documents\Working\FedCVD\output\resnet1d34\local\client3\20260127183946
local_client4,12.58,21.32,18.78,3.13,16.77,22.58,47.92,64.27,22.32,36.74,60.56,31.72,27.50,41.18,22.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\kl23a\Documents\Working\FedCVD\output\resnet1d34\local\client4\20260127191305
fedavg,57.66,71.78,54.65,27.58,50.33,56.70,70.49,77.87,38.79,47.54,67.10,41.45,55.64,68.79,52.79,81.98,40.17,57.28,36.42,64.06,54.57,15.21,19.26,17.03,4.52,82.75,39.32,18.84,7.97,60.34,55.04,86.56,55.66,67.38,57.05,71.43,73.09,29.05,42.51,22.63,17.76,87.72,57.34,26.98,26.41,71.95,75.73,58.82,48.44,30.95,36.05,46.13,57.32,29.52,36.13,37.79,38.89,38.21,35.57,44.83,43.98,34.77,42.98,C:\Users\kl23a\Documents\Working\FedCVD\output\resnet1d34\fedavg\20260126201953
fedprox,49.99,69.38,55.02,23.66,49.46,54.31,68.14,74.53,37.54,48.43,67.69,41.15,51.75,66.48,51.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\kl23a\Documents\Working\FedCVD\output\resnet1d34\fedprox\20260126220041
scaffold,53.87,70.76,53.83,27.13,51.32,54.81,67.80,74.33,37.36,46.33,66.41,39.50,53.27,67.15,50.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\kl23a\Documents\Working\FedCVD\output\resnet1d34\scaffold\20260128191856
ditto,76.97,84.14,61.90,52.76,74.11,56.33,80.96,86.92,39.34,18.86,42.64,31.60,55.33,66.75,48.75,76.97,39.25,43.56,31.35,53.51,52.76,3.97,14.50,18.22,4.99,80.96,42.14,8.61,3.58,32.38,18.86,84.14,55.68,59.38,54.60,63.20,74.11,27.32,46.86,24.53,20.70,86.92,60.80,16.16,21.74,48.71,42.64,61.90,55.57,32.00,39.82,46.65,56.33,31.92,36.54,43.94,46.02,39.34,39.08,28.25,32.25,27.86,31.60,C:\Users\kl23a\Documents\Working\FedCVD\output\resnet1d34\ditto\20260126233118
fedinit,55.30,70.73,54.64,27.73,51.65,57.37,68.49,75.04,38.51,47.30,67.38,41.51,54.16,67.57,52.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\kl23a\Documents\Working\FedCVD\output\resnet1d34\fedinit\20260128205328
